단어,빈도수
세상일도…….”,1
바느질감을,1
허리가,1
6,1
변했다.,1
오랜,1
문질러,1
건너던,1
“저기,1
이빨로,1
탓,1
보았을,1
내려가,,1
데로,1
단맛을,1
달음으로,1
누워,1
저,,1
움킨다.,1
라고,1
낫는다.”,1
생각했다.,1
돌아온,1
개울에다,1
개,1
차,1
주는,1
함께,1
이,,1
있어야,1
돌리지,1
어쩔,1
꽃과,1
남색,1
돌,1
올라탔다.,1
있지,1
쥐고,1
뒤따라오는,1
여자,1
돌이,1
바투,1
들은,1
꿰지,1
누렁송아지였다.,1
며.,1
단발,1
같,1
줄을,1
있어야지.”,1
비,1
도랑,1
자리에,1
허전함이,1
한껏,1
들여다,1
넘기게,1
위로,1
있기,1
돌아다보니,,1
학교에,1
허수아비를,1
대고,1
끝난,1
밑이,1
미간이,1
멀기에?,1
잡더니,1
봤으면.”,1
적잖이,1
마냥,1
눈이,1
올라온다.,1
끊긴,1
‘바보,바보,’할,1
거기서부터,1
벼,1
디뎠다.,1
때문이다.,1
마리,1
든다.,1
‘걀걀’하고,1
실수를,1
좋지만,1
모양이었다.,1
없게,1
되었다는,1
그늘만,1
호두알을,1
고향,1
남의,1
된,1
공연히,1
여물어,1
고향에,1
그런지,1
싫어졌다.,1
일이니,1
쓸쓸한,1
쇠파리라도,1
버리고,,1
떠돌았다.,1
소녀와,1
지려.”,1
밑까지는,1
내며,1
“원두막.”,1
밖이,1
날아간다.,1
맛있니?”,1
뒤따라,1
맛도,1
참새를,1
같아서,1
“하나,1
그루에,1
세,1
뽑아,1
둔,1
실패해,1
야,1
조심스럽게,1
얼마,1
보자.”,1
쓰다가,1
했을,1
뒤를,1
큰길,1
그랬는가,1
멀리,1
가듯이,1
훔쳐내면서,1
허허,1
“아직도…….”,1
올라섰다.,1
달려와,1
스쳐,1
조개지?”,1
돌아섰다.,1
무게를,1
삼,1
우쭐거리며,1
나룻이,1
무우,1
자,1
비안개,1
“왜,1
꾸만,1
지나간다.,1
체했다.,1
여태,1
같니?”,1
이르니,,1
먹장구름,1
혼자서,1
손짓을,1
건너기,1
코뚜레도,1
대꾸도,1
“윤,1
흔들어,1
십,1
갈밭,1
댁에,1
보니,,1
단풍이,1
있니?”,1
깠다가는,1
벌,1
앞자락만,1
“없다.”,1
시골,1
햇살이,1
있어,,1
길에,1
오니까,1
멀다.”,1
같네.,1
주머니를,1
심은,1
손바닥으로,1
“맛봐라.,1
흉내,1
밭머리를,1
가까운,1
먹어,1
일이었다.,1
헤어져,1
까무룩,1
“너,,1
등나무가,1
“비단조개.”,1
메뚜기가,1
“이름도,1
우대로,1
몸,1
7,1
가까워,1
양평읍으로,1
거기,1
조그마한,1
가겟방을,1
되리라는,1
손으로는,1
꺾고,1
이사하는,1
한결,1
가면,1
될까,1
어떨까.,1
잠이,1
들었는가,1
하는데,,1
“허,,1
마을,1
책보를,1
잔망스럽지가,1
놓으시라고…….”,1
셈이지.……그런데참,,1
가져가지.,1
웃고,1
나서,,1
“임마,,1
그래도,1
실속이,1
갔던,1
외양간으로가,,1
갈겼다.,1
개울물은,1
아래쪽으로,1
갈밭머리에서,1
바라보는,1
쪽빛,1
하,1
대가,1
어려서,1
자식복이,1
없을까.”,1
앤,1
여러,1
약도,1
변변히,1
못써,1
초시네도,1
둘,1
여간,1
않아.,1
글쎄,,1
않아?,1
죽거든,1
입던,1
옷을,1
꼭그대로,1
넘기더니,,1
돌아왔는지,,1
댁도,1
말이,1
아니야,,1
많던,1
전답을,1
팔아,1
대대로,1
가신다.,1
악상까지,1
보면…….”,1
“어쩌면,1
어머니가,,1
“증손(曾孫)이라곤,1
계집애,1
하나뿐이었지요?”,1
“그렇지,,1
지우는,1
선뜩했다.,1
마구,1
내리,1
마리를,1
치는,1
었다.,1
열,1
이틀,1
달이,1
크게,1
그늘의,1
고마움을,1
처음,1
어루만졌다.,1
호두송이를,1
맨손으로,1
쉽다는,1
말,1
씹고,1
길에,,1
달라는,1
혼잣속으로,,1
되,1
뇌어,1
무어,1
안타까울,1
그렇건만,,1
아,1
대추알의,1
모르고,1
남폿불,1
호두밭으로,1
낯에,1
철썩,1
나무로,1
내리쳤다.,1
자리를,1
나들이옷으로,1
갈아입고,1
닭,1
물었다.,1
말에도,1
얼룩수탉으로…….”,1
보면서,,1
될까?”,1
어머니가,1
돌아오니,,1
보던데요.,1
크진,1
않아도살은,1
쪘을,1
거여요.”,1
어머니한테,1
물어,1
누워서도,1
들었다.,1
무렇지도,1
제일,1
묻어,1
어서,1
맛보여야,1
생각만이,1
앞섰다.,1
아차,1
“이만하면,1
병이,1
가기,1
가로,1
나와,1
못해,1
같은것,,1
같은것.,1
이튿날,,1
사,1
비킬,1
별나게,1
